,120<Multiplicity<130,,
,,,
delta phi,Yridge,error-,error+
-0.959231977902101,6.73294962954286,-0.00534398445541218,0.0049545230072745
-0.784799898444057,6.75004925167424,-0.00540876545502922,0.00488939863250781
-0.610464476225743,6.76985958982235,-0.00527450146047936,0.00524788659922137
-0.435682903151552,6.76860558307856,-0.00511998194313268,0.00473076432552411
-0.261992213693091,6.77948854981117,-0.00523745101069206,0.00506105645199462
-0.0874440114674697,6.77852519137856,-0.00492616198564466,0.00514846488002707
0.0862898948148017,6.77920655283018,-0.00558829442893494,0.0047105564089005
0.260637366266677,6.77941658938642,-0.00533099740765852,0.0051913906520431
0.435012360011611,6.76865626418224,-0.00552124907373131,0.00477725838895537
0.609733884446403,6.76975305239782,-0.00480742012970836,0.00549143070812708
0.784710615598636,6.75015399643508,-0.00533804551483286,0.00496080532300258
0.961658943744433,6.73284373535528,-0.00502245067438523,0.00527571341315269
