,130<multiplicity,,
,,,
delta phi,Yield,error-,error+
-0.961131659745753,7.56881843398858,-0.00719538475085368,0.00754662999116107
-0.785938203466995,7.58504680322951,-0.00718612353396697,0.0070644907166475
-0.613882796921228,7.61052661940814,-0.00733740016386886,0.0074046145781459
-0.436593698159188,7.61074021185284,-0.00703817787557792,0.00721243637503655
-0.262514785840964,7.60655066878959,-0.00700412474763468,0.00700116494572889
-0.0885895337613842,7.6185042804895,-0.00738841065803708,0.00735360408397767
0.0881691070282495,7.61828481285831,-0.00714752878524116,0.00759448595677359
0.26226148952952,7.60667636753053,-0.00706558076378183,0.00743073373253278
0.436083801529143,7.61109104166079,-0.00728193647553876,0.00721475370922509
0.610571396634248,7.61068423475216,-0.00734474012826514,0.00739727461374962
0.785015908794486,7.5852496851807,-0.00719590162233263,0.00705471262828183
0.961418617674719,7.56900854146609,-0.00714955988233346,0.00734713030243039
